list-id-none,1,1,4,3,133797,44599
list-id-none,1,2,4,6,142957,23826
list-id-none,1,4,4,12,66295,5524
list-id-none,1,8,4,24,70881,2953
list-id-none,1,16,4,48,155106,3231
list-id-m,1,10,4,30,156893,5229,28
list-id-s,1,10,4,30,142906,4763,1
list-id-m,1,20,4,60,188950,3149,21
list-id-s,1,20,4,60,153470,2557,0
list-id-m,1,40,4,120,192665,1605,17
list-id-s,1,40,4,120,181646,1513,0
list-id-m,1,80,4,240,236819,986,16
list-id-s,1,80,4,240,206927,862,0
list-id-none,4,1,4,12,163660,13638
list-id-none,4,2,4,24,158722,6613
list-id-none,4,4,4,48,159255,3317
list-id-none,4,8,4,96,156120,1626
list-id-none,4,16,4,192,174523,908
list-id-m,4,10,4,120,232998,1941,936
list-id-s,4,10,4,120,181567,1513,1
list-id-m,4,20,4,240,352477,1468,971
list-id-s,4,20,4,240,213890,891,1
list-id-m,4,40,4,480,679453,1415,1246
list-id-s,4,40,4,480,552096,1150,41
list-id-m,4,80,4,960,1643095,1711,1692
list-id-s,4,80,4,960,832046,866,0
list-id-none,8,1,4,24,232836,9701
list-id-none,8,2,4,48,234419,4883
list-id-none,8,4,4,96,248369,2587
list-id-none,8,8,4,192,233335,1215
list-id-none,8,16,4,384,254701,663
list-id-m,8,10,4,240,489049,2037,2514
list-id-s,8,10,4,240,387140,1613,213
list-id-m,8,20,4,480,851601,1774,4018
list-id-s,8,20,4,480,583424,1215,16
list-id-m,8,40,4,960,1703421,1774,4260
list-id-s,8,40,4,960,1182325,1231,38
list-id-m,8,80,4,1920,4291653,2235,5024
list-id-s,8,80,4,1920,4026259,2097,1
list-id-none,12,1,4,36,322258,8951
list-id-none,12,2,4,72,287087,3987
list-id-none,12,4,4,144,303896,2110
list-id-none,12,8,4,288,308517,1071
list-id-none,12,16,4,576,359112,623
list-id-m,12,10,4,360,741479,2059,5588
list-id-s,12,10,4,360,583124,1619,101
list-id-m,12,20,4,720,1418541,1970,6898
list-id-s,12,20,4,720,1130981,1570,333
list-id-m,12,40,4,1440,2964084,2058,8600
list-id-s,12,40,4,1440,2390255,1659,49
list-id-m,12,80,4,2880,7720348,2680,10079
list-id-s,12,80,4,2880,6759152,2346,31
list-id-none,16,1,4,48,454377,9466
list-id-none,16,2,4,96,394560,4110
list-id-none,16,4,4,192,348937,1817
list-id-none,16,8,4,384,422584,1100
list-id-none,16,16,4,768,418867,545
list-id-m,16,10,4,480,906201,1887,5584
list-id-s,16,10,4,480,574881,1197,134
list-id-m,16,20,4,960,1763666,1837,8631
list-id-s,16,20,4,960,1721031,1792,46
list-id-m,16,40,4,1920,4670141,2432,12197
list-id-s,16,40,4,1920,3967167,2066,23
list-id-m,16,80,4,3840,12339617,3213,15870
list-id-s,16,80,4,3840,9647382,2512,8
list-none-m,1,1000,1,3000,3863511,1287,16
list-none-s,1,1000,1,3000,3598268,1199,0
list-none-m,1,1000,4,3000,3670146,1223,14
list-none-s,1,1000,4,3000,3596976,1198,0
list-none-m,1,1000,8,3000,3570552,1190,14
list-none-s,1,1000,8,3000,3537106,1179,0
list-none-m,1,1000,16,3000,3643555,1214,18
list-none-s,1,1000,16,3000,3540029,1180,0
list-none-m,2,1000,1,6000,21961958,3660,1872
list-none-s,2,1000,1,6000,17705151,2950,0
list-none-m,2,1000,4,6000,22142653,3690,1507
list-none-s,2,1000,4,6000,11338465,1889,0
list-none-m,2,1000,8,6000,21868408,3644,1476
list-none-s,2,1000,8,6000,12218885,2036,0
list-none-m,2,1000,16,6000,22161142,3693,1834
list-none-s,2,1000,16,6000,9318581,1553,0
list-none-m,4,1000,1,12000,86690173,7224,9442
list-none-s,4,1000,1,12000,79289187,6607,0
list-none-m,4,1000,4,12000,84301889,7025,9652
list-none-s,4,1000,4,12000,49786819,4148,0
list-none-m,4,1000,8,12000,86737920,7228,8174
list-none-s,4,1000,8,12000,119548096,9962,5
list-none-m,4,1000,16,12000,86143195,7178,11935
list-none-s,4,1000,16,12000,47534266,3961,0
list-none-m,8,1000,1,24000,388143634,16172,36370
list-none-s,8,1000,1,24000,202834283,8451,0
list-none-m,8,1000,4,24000,408143492,17005,44736
list-none-s,8,1000,4,24000,444315555,18513,2
list-none-m,8,1000,8,24000,440993969,18374,29789
list-none-s,8,1000,8,24000,254853948,10618,2
list-none-m,8,1000,16,24000,393468962,16394,36640
list-none-s,8,1000,16,24000,456696827,19029,2
list-none-m,12,1000,1,36000,1158998079,32194,129937
list-none-s,12,1000,1,36000,761541855,21153,8
list-none-m,12,1000,4,36000,1169229660,32478,160505
list-none-s,12,1000,4,36000,712498273,19791,5
list-none-m,12,1000,8,36000,1074426310,29845,84115
list-none-s,12,1000,8,36000,1248031188,34667,5
list-none-m,12,1000,16,36000,1212691731,33685,170167
list-none-s,12,1000,16,36000,712018120,19778,33
